id,race_id,filename,original_filename,photo_type,caption,uploaded_at
1,19,2c3cbc8a-a1d3-4f91-89c9-97ff06fe9432.jpg,Ambee Wine Run.jpg,finish,And we're off,2025-08-06 23:14:53.673868
3,14,623af1a1-ee26-4f10-b59a-7166e774b468.png,pasted.png,other,"",2025-08-12 11:52:38.953577
4,13,efddb423-ca20-4f85-92e5-15e57933e641.png,pasted.png,other,"",2025-08-12 11:53:38.348673
5,11,d1b594f6-77ad-4f6e-b476-b1154b129fcd.jpg,pasted.jpg,other,"",2025-08-12 15:26:23.75856
6,11,8feb160f-314b-4aa9-ab90-51e2dd65482b.jpeg,IMG_9110.jpeg,other,"",2025-08-15 02:01:46.016556
